id,name,city,bed_capacity,icu_seats,ayushman_enabled,facilities,rating,contact,address
1,All India Institute of Medical Sciences (AIIMS),Delhi,2300,150,Yes,"Emergency | ICU | Cardiology | Neurosurgery | Pediatric ICU | Cardiac ICU",4.8,+91-11-26588500,"Ansari Nagar, New Delhi"
152,Sharma Hospital,Fatehabad,110,16,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-1667-221111,"Fatehabad"
153,Gupta Hospital,Fatehabad,95,14,no,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.0,+91-1667-222222,"Fatehabad"
154,Jain Hospital,Fatehabad,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.9,+91-1667-223333,"Fatehabad"
155,Kumar Hospital,Fatehabad,70,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.8,+91-1667-224444,"Fatehabad"
156,Singh Hospital,Sirsa,180,27,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.3,+91-1666-240000,"Sirsa"
157,Gupta Hospital,Sirsa,150,22,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.2,+91-1666-241111,"Sirsa"
158,Sharma Hospital,Sirsa,120,18,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.1,+91-1666-242222,"Sirsa"
159,Jain Hospital,Sirsa,100,15,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-1666-243333,"Sirsa"
160,Verma Hospital,Sirsa,85,13,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-1666-244444,"Sirsa"
161,Malik Hospital,Kaithal,120,18,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.2,+91-1746-220000,"Kaithal"
162,Sharma Hospital,Kaithal,100,15,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-1746-221111,"Kaithal"
163,Gupta Hospital,Kaithal,85,13,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.0,+91-1746-222222,"Kaithal"
164,Jain Hospital,Kaithal,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.9,+91-1746-223333,"Kaithal"
165,Kumar Hospital,Kaithal,65,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.8,+91-1746-224444,"Kaithal"
166,Rana Hospital,Rewari,160,24,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.3,+91-1274-240000,"Rewari"
167,Sharma Hospital,Rewari,130,20,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.2,+91-1274-241111,"Rewari"
168,Gupta Hospital,Rewari,110,16,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.1,+91-1274-242222,"Rewari"
169,Jain Hospital,Rewari,95,14,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-1274-243333,"Rewari"
170,Verma Hospital,Rewari,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-1274-244444,"Rewari"
171,Singh Hospital,Palwal,140,21,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.2,+91-1275-230000,"Palwal"
172,Sharma Hospital,Palwal,120,18,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-1275-231111,"Palwal"
173,Gupta Hospital,Palwal,100,15,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.0,+91-1275-232222,"Palwal"
174,Jain Hospital,Palwal,85,13,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.9,+91-1275-233333,"Palwal"
175,Kumar Hospital,Palwal,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.8,+91-1275-234444,"Palwal"
176,Yadav Hospital,Narnaul,110,16,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.2,+91-1282-220000,"Narnaul"
177,Sharma Hospital,Narnaul,95,14,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-1282-221111,"Narnaul"
178,Gupta Hospital,Narnaul,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.0,+91-1282-222222,"Narnaul"
179,Jain Hospital,Narnaul,70,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.9,+91-1282-223333,"Narnaul"
180,Kumar Hospital,Narnaul,60,9,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.8,+91-1282-224444,"Narnaul"
181,Singh Hospital,Jhajjar,130,20,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.3,+91-1251-240000,"Jhajjar"
182,Sharma Hospital,Jhajjar,110,16,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.2,+91-1251-241111,"Jhajjar"
183,Gupta Hospital,Jhajjar,95,14,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.1,+91-1251-242222,"Jhajjar"
184,Jain Hospital,Jhajjar,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-1251-243333,"Jhajjar"
185,Verma Hospital,Jhajjar,70,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-1251-244444,"Jhajjar"
186,Rao Hospital,Mahendragarh,120,18,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.2,+91-1285-230000,"Mahendragarh"
187,Sharma Hospital,Mahendragarh,100,15,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-1285-231111,"Mahendragarh"
188,Gupta Hospital,Mahendragarh,85,13,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.0,+91-1285-232222,"Mahendragarh"
189,Jain Hospital,Mahendragarh,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.9,+91-1285-233333,"Mahendragarh"
190,Kumar Hospital,Mahendragarh,65,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.8,+91-1285-234444,"Mahendragarh"
191,Choudhary Hospital,Bahadurgarh,180,27,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.3,+91-1276-240000,"Bahadurgarh"
192,Sharma Hospital,Bahadurgarh,150,22,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.2,+91-1276-241111,"Bahadurgarh"
193,Gupta Hospital,Bahadurgarh,120,18,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.1,+91-1276-242222,"Bahadurgarh"
194,Jain Hospital,Bahadurgarh,100,15,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-1276-243333,"Bahadurgarh"
195,Verma Hospital,Bahadurgarh,85,13,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-1276-244444,"Bahadurgarh"
196,Singh Hospital,Gohana,110,16,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.2,+91-1263-220000,"Gohana"
197,Sharma Hospital,Gohana,95,14,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-1263-221111,"Gohana"
198,Gupta Hospital,Gohana,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.0,+91-1263-222222,"Gohana"
199,Jain Hospital,Gohana,70,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.9,+91-1263-223333,"Gohana"
200,Kumar Hospital,Gohana,60,9,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.8,+91-1263-224444,"Gohana"
201,Rana Hospital,Hansi,130,20,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.2,+91-1663-240000,"Hansi"
202,Sharma Hospital,Hansi,110,16,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-1663-241111,"Hansi"
203,Gupta Hospital,Hansi,95,14,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.0,+91-1663-242222,"Hansi"
204,Jain Hospital,Hansi,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.9,+91-1663-243333,"Hansi"
205,Kumar Hospital,Hansi,70,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.8,+91-1663-244444,"Hansi"
206,Singh Hospital,Tohana,120,18,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.2,+91-1694-220000,"Tohana"
207,Sharma Hospital,Tohana,100,15,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-1694-221111,"Tohana"
208,Gupta Hospital,Tohana,85,13,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.0,+91-1694-222222,"Tohana"
209,Jain Hospital,Tohana,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.9,+91-1694-223333,"Tohana"
210,Verma Hospital,Tohana,65,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.8,+91-1694-224444,"Tohana"
211,Chauhan Hospital,Sampla,100,15,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.1,+91-1251-250000,"Sampla"
212,Sharma Hospital,Sampla,85,13,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-1251-251111,"Sampla"
213,Gupta Hospital,Sampla,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-1251-252222,"Sampla"
214,Jain Hospital,Sampla,65,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.8,+91-1251-253333,"Sampla"
215,Kumar Hospital,Sampla,55,8,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.7,+91-1251-254444,"Sampla"
216,Yadav Hospital,Barwala,110,16,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.2,+91-1691-230000,"Barwala"
217,Sharma Hospital,Barwala,95,14,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-1691-231111,"Barwala"
218,Gupta Hospital,Barwala,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.0,+91-1691-232222,"Barwala"
219,Jain Hospital,Barwala,70,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.9,+91-1691-233333,"Barwala"
220,Kumar Hospital,Barwala,60,9,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.8,+91-1691-234444,"Barwala"
221,Malik Hospital,Ladwa,100,15,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.1,+91-1744-250000,"Ladwa"
222,Sharma Hospital,Ladwa,85,13,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-1744-251111,"Ladwa"
223,Gupta Hospital,Ladwa,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-1744-252222,"Ladwa"
224,Jain Hospital,Ladwa,65,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.8,+91-1744-253333,"Ladwa"
225,Verma Hospital,Ladwa,55,8,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.7,+91-1744-254444,"Ladwa"
226,Singh Hospital,Pehowa,90,14,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.1,+91-1744-260000,"Pehowa"
227,Sharma Hospital,Pehowa,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-1744-261111,"Pehowa"
228,Gupta Hospital,Pehowa,70,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-1744-262222,"Pehowa"
229,Jain Hospital,Pehowa,60,9,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.8,+91-1744-263333,"Pehowa"
230,Kumar Hospital,Pehowa,50,8,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.7,+91-1744-264444,"Pehowa"
231,Rao Hospital,Shahabad,120,18,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.2,+91-1744-270000,"Shahabad"
232,Sharma Hospital,Shahabad,100,15,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-1744-271111,"Shahabad"
233,Gupta Hospital,Shahabad,85,13,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.0,+91-1744-272222,"Shahabad"
234,Jain Hospital,Shahabad,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.9,+91-1744-273333,"Shahabad"
235,Verma Hospital,Shahabad,65,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.8,+91-1744-274444,"Shahabad"
236,Chaudhary Hospital,Ateli,85,13,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.0,+91-1285-250000,"Ateli"
237,Sharma Hospital,Ateli,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.9,+91-1285-251111,"Ateli"
238,Gupta Hospital,Ateli,65,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.8,+91-1285-252222,"Ateli"
239,Jain Hospital,Ateli,55,8,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.7,+91-1285-253333,"Ateli"
240,Kumar Hospital,Ateli,50,7,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.6,+91-1285-254444,"Ateli"
241,Singh Hospital,Kosli,95,14,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.1,+91-1251-260000,"Kosli"
242,Sharma Hospital,Kosli,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-1251-261111,"Kosli"
243,Gupta Hospital,Kosli,70,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-1251-262222,"Kosli"
244,Jain Hospital,Kosli,60,9,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.8,+91-1251-263333,"Kosli"
245,Verma Hospital,Kosli,55,8,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.7,+91-1251-264444,"Kosli"
246,Rana Hospital,Charkhi Dadri,110,16,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.2,+91-1250-240000,"Charkhi Dadri"
247,Sharma Hospital,Charkhi Dadri,95,14,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-1250-241111,"Charkhi Dadri"
248,Gupta Hospital,Charkhi Dadri,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.0,+91-1250-242222,"Charkhi Dadri"
249,Jain Hospital,Charkhi Dadri,70,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.9,+91-1250-243333,"Charkhi Dadri"
250,Kumar Hospital,Charkhi Dadri,60,9,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.8,+91-1250-244444,"Charkhi Dadri"
251,Malik Hospital,Ellenabad,100,15,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.1,+91-1667-250000,"Ellenabad"
252,Sharma Hospital,Ellenabad,85,13,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-1667-251111,"Ellenabad"
253,Gupta Hospital,Ellenabad,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-1667-252222,"Ellenabad"
254,Jain Hospital,Ellenabad,65,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.8,+91-1667-253333,"Ellenabad"
255,Verma Hospital,Ellenabad,55,8,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.7,+91-1667-254444,"Ellenabad"
256,Singh Hospital,Narwana,120,18,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.2,+91-1681-250000,"Narwana"
257,Sharma Hospital,Narwana,100,15,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-1681-251111,"Narwana"
258,Gupta Hospital,Narwana,85,13,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.0,+91-1681-252222,"Narwana"
259,Jain Hospital,Narwana,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.9,+91-1681-253333,"Narwana"
260,Kumar Hospital,Narwana,65,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.8,+91-1681-254444,"Narwana"
261,Rao Hospital,Safidon,95,14,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.1,+91-1681-260000,"Safidon"
262,Sharma Hospital,Safidon,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-1681-261111,"Safidon"
263,Gupta Hospital,Safidon,70,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-1681-262222,"Safidon"
264,Jain Hospital,Safidon,60,9,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.8,+91-1681-263333,"Safidon"
265,Verma Hospital,Safidon,55,8,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.7,+91-1681-264444,"Safidon"
266,Chauhan Hospital,Julana,90,14,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.1,+91-1681-270000,"Julana"
267,Sharma Hospital,Julana,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-1681-271111,"Julana"
268,Gupta Hospital,Julana,65,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-1681-272222,"Julana"
269,Jain Hospital,Julana,55,8,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.8,+91-1681-273333,"Julana"
270,Kumar Hospital,Julana,50,7,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.7,+91-1681-274444,"Julana"
271,Singh Hospital,Uchana,100,15,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.1,+91-1681-280000,"Uchana"
272,Sharma Hospital,Uchana,85,13,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-1681-281111,"Uchana"
273,Gupta Hospital,Uchana,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-1681-282222,"Uchana"
274,Jain Hospital,Uchana,65,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.8,+91-1681-283333,"Uchana"
275,Verma Hospital,Uchana,55,8,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.7,+91-1681-284444,"Uchana"
276,Rana Hospital,Kalanaur,85,13,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.0,+91-1264-240000,"Kalanaur"
277,Sharma Hospital,Kalanaur,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.9,+91-1264-241111,"Kalanaur"
278,Gupta Hospital,Kalanaur,65,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.8,+91-1264-242222,"Kalanaur"
279,Jain Hospital,Kalanaur,55,8,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.7,+91-1264-243333,"Kalanaur"
280,Kumar Hospital,Kalanaur,50,7,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.6,+91-1264-244444,"Kalanaur"
281,Malik Hospital,Beri,95,14,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.1,+91-1264-250000,"Beri"
282,Sharma Hospital,Beri,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-1264-251111,"Beri"
283,Gupta Hospital,Beri,70,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-1264-252222,"Beri"
284,Jain Hospital,Beri,60,9,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.8,+91-1264-253333,"Beri"
285,Verma Hospital,Beri,55,8,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.7,+91-1264-254444,"Beri"
286,Singh Hospital,Jatusana,90,14,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.1,+91-1285-260000,"Jatusana"
287,Sharma Hospital,Jatusana,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-1285-261111,"Jatusana"
288,Gupta Hospital,Jatusana,65,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-1285-262222,"Jatusana"
289,Jain Hospital,Jatusana,55,8,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.8,+91-1285-263333,"Jatusana"
290,Kumar Hospital,Jatusana,50,7,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.7,+91-1285-264444,"Jatusana"
291,Rao Hospital,Nuh,130,20,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.2,+91-1267-240000,"Nuh"
292,Sharma Hospital,Nuh,110,16,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-1267-241111,"Nuh"
293,Gupta Hospital,Nuh,95,14,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.0,+91-1267-242222,"Nuh"
294,Jain Hospital,Nuh,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.9,+91-1267-243333,"Nuh"
295,Verma Hospital,Nuh,70,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.8,+91-1267-244444,"Nuh"
296,Chaudhary Hospital,Ferozepur Jhirka,100,15,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.1,+91-1267-250000,"Ferozepur Jhirka"
297,Sharma Hospital,Ferozepur Jhirka,85,13,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-1267-251111,"Ferozepur Jhirka"
298,Gupta Hospital,Ferozepur Jhirka,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-1267-252222,"Ferozepur Jhirka"
299,Jain Hospital,Ferozepur Jhirka,65,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.8,+91-1267-253333,"Ferozepur Jhirka"
300,Kumar Hospital,Ferozepur Jhirka,55,8,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.7,+91-1267-254444,"Ferozepur Jhirka"
301,Singh Hospital,Punahana,95,14,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.1,+91-1267-260000,"Punahana"
302,Sharma Hospital,Punahana,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-1267-261111,"Punahana"
303,Gupta Hospital,Punahana,70,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-1267-262222,"Punahana"
304,Jain Hospital,Punahana,60,9,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.8,+91-1267-263333,"Punahana"
305,Verma Hospital,Punahana,55,8,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.7,+91-1267-264444,"Punahana"
306,Rana Hospital,Taoru,90,14,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.1,+91-1267-270000,"Taoru"
307,Sharma Hospital,Taoru,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-1267-271111,"Taoru"
308,Gupta Hospital,Taoru,65,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-1267-272222,"Taoru"
309,Jain Hospital,Taoru,55,8,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.8,+91-1267-273333,"Taoru"
310,Kumar Hospital,Taoru,50,7,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.7,+91-1267-274444,"Taoru"
311,Malik Hospital,Nagina,85,13,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.0,+91-1267-280000,"Nagina"
312,Sharma Hospital,Nagina,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.9,+91-1267-281111,"Nagina"
313,Gupta Hospital,Nagina,65,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.8,+91-1267-282222,"Nagina"
314,Jain Hospital,Nagina,55,8,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.7,+91-1267-283333,"Nagina"
315,Verma Hospital,Nagina,50,7,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.6,+91-1267-284444,"Nagina"
316,Singh Hospital,Sohna,120,18,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.2,+91-124-2360000,"Sohna"
317,Sharma Hospital,Sohna,100,15,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-124-2361111,"Sohna"
318,Gupta Hospital,Sohna,85,13,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.0,+91-124-2362222,"Sohna"
319,Jain Hospital,Sohna,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.9,+91-124-2363333,"Sohna"
320,Kumar Hospital,Sohna,65,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.8,+91-124-2364444,"Sohna"
321,Rao Hospital,Pataudi,110,16,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.1,+91-124-2370000,"Pataudi"
322,Sharma Hospital,Pataudi,95,14,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-124-2371111,"Pataudi"
